city,timestamp,dayMean,aveMean,dayHigh,aveHigh,recHigh,dayLow,aveLow,recLow,aveHumidity,dayPrecip,avePrecip
Austin,20010713,86,83,99,95,104,73,72,68,61,0,0.1
Austin,20010714,86,83,99,95,105,73,72,67,63,0,0.09
Austin,20010715,86,83,99,95,105,75,72,66,57,0,0.08
Austin,20010716,86,84,98,95,106,75,72,62,67,0,0.08
Austin,20010717,86,84,98,95,105,75,72,66,67,0,0.07
Austin,20010718,84,84,97,95,103,71,72,67,67,0,0.07
Austin,20010719,86,84,98,96,106,75,72,64,68,0,0.07
Austin,20010720,88,84,100,96,103,77,72,66,62,0,0.07
Austin,20010721,86,84,100,96,102,71,72,66,59,0,0.06
Austin,20010722,83,84,102,96,102,66,72,66,51,0,0.07
Austin,20010723,85,84,100,96,103,70,72,62,55,0,0.06
Austin,20010724,85,84,99,96,103,73,72,68,60,0,0.06
Austin,20010725,86,84,99,96,103,73,72,67,64,0,0.05
Austin,20010726,86,84,100,96,106,73,72,69,71,0,0.05
Austin,20010727,86,84,98,96,104,75,72,67,72,0,0.06
Austin,20010728,88,84,100,96,104,78,72,68,68,0,0.05
Austin,20010729,86,84,100,96,105,75,72,68,66,0,0.05
Austin,20010730,88,84,100,96,105,75,72,67,62,0,0.06
Austin,20010731,86,84,100,97,103,73,72,64,67,0,0.05
Austin,20010801,86,84,100,97,105,73,72,65,62,0,0.06
Austin,20010802,84,84,97,97,106,73,72,64,62,0,0.06
Austin,20010803,84,84,97,97,105,72,72,65,58,0,0.06
Austin,20010804,84,84,99,97,105,69,72,66,57,0,0.06
Austin,20010805,86,84,102,97,105,70,72,64,51,0,0.05
Austin,20010806,85,84,102,97,104,70,72,68,50,0,0.06
Austin,20010807,84,84,98,97,106,72,72,70,59,0,0.05
Austin,20010808,86,84,99,97,108,73,72,68,68,0,0.06
Austin,20010809,86,84,100,97,106,72,72,66,64,0,0.05
Austin,20010810,86,84,99,97,107,73,72,63,63,0,0.05
Austin,20010811,86,84,99,97,105,75,72,67,62,0,0.05
Austin,20010812,87,84,100,97,104,75,72,64,57,0,0.05
Austin,20010813,86,84,100,97,103,73,72,59,57,0,0.05
Austin,20010814,81,84,93,97,104,71,72,62,84,0.1,0.05
Austin,20010815,84,84,99,97,104,69,72,62,58,0,0.05
Austin,20010816,86,84,98,97,104,75,72,59,70,0,0.06
Austin,20010817,86,84,99,96,105,73,72,61,63,0,0.07
Austin,20010818,86,84,100,96,104,73,71,64,59,0,0.06
Austin,20010819,82,84,93,96,106,73,71,65,68,0,0.06
Austin,20010820,82,84,97,96,105,69,71,67,70,0,0.06
Austin,20010821,82,84,98,96,104,66,71,66,65,0,0.06
Austin,20010822,84,83,98,96,103,71,71,65,72,0,0.07
Austin,20010823,84,83,97,96,105,73,71,63,69,0,0.06
Austin,20010824,82,83,96,96,107,68,71,61,71,0,0.08
Austin,20010825,86,83,97,95,104,75,71,61,69,0,0.08
Austin,20010826,82,83,97,95,103,69,70,60,82,0.25,0.08
Austin,20010827,76,83,87,95,108,68,70,64,95,0.63,0.09
Austin,20010828,73,82,79,95,110,69,70,61,96,0.75,0.09
Austin,20010829,72,82,75,95,108,69,70,62,99,0.56,0.1
Austin,20010830,72,82,75,95,104,69,70,62,100,1.88,0.1
Austin,20010831,74,82,79,94,106,69,70,62,97,0.52,0.1
Austin,20010901,76,82,84,94,107,69,69,63,89,0,0.08
Austin,20010902,78,81,87,94,106,70,69,63,83,0,0.09
Austin,20010903,78,81,91,94,107,64,69,61,86,0.76,0.09
Austin,20010904,74,81,88,93,110,64,69,58,89,0.08,0.09
Austin,20010905,75,81,79,93,112,71,68,55,93,1.02,0.08
Austin,20010906,80,80,91,93,101,69,68,52,83,0.08,0.09
Austin,20010907,83,80,91,93,102,75,68,50,77,0,0.09
Austin,20010908,84,80,91,92,103,78,68,56,77,0,0.09
Austin,20010909,76,80,82,92,100,69,67,54,84,0.76,0.1
Austin,20010910,76,79,82,92,100,70,67,52,80,0,0.1
Austin,20010911,78,79,87,92,102,69,67,56,75,0,0.09
Austin,20010912,74,79,86,91,102,62,67,56,76,0,0.09
Austin,20010913,77,79,90,91,102,64,66,59,77,0,0.09
Austin,20010914,80,78,91,91,101,69,66,54,76,0,0.09
Austin,20010915,78,78,89,91,99,68,66,56,75,0,0.08
Austin,20010916,79,78,88,90,99,71,65,54,73,0,0.08
Austin,20010917,76,78,90,90,105,66,65,50,79,0,0.08
Austin,20010918,80,77,91,90,99,68,65,48,77,0,0.08
Austin,20010919,83,77,93,90,101,75,64,47,81,0,0.09
Austin,20010920,83,77,93,89,103,73,64,52,76,0,0.08
Austin,20010921,80,76,89,89,102,70,64,54,79,0.03,0.08
Austin,20010922,75,76,86,89,103,66,63,47,89,1.49,0.08
Austin,20010923,75,76,87,89,101,64,63,45,81,0.07,0.08
Austin,20010924,70,76,78,88,101,63,63,50,69,0,0.08
Austin,20010925,64,75,77,88,108,54,63,50,67,0,0.09
Austin,20010926,62,75,77,88,107,48,62,47,74,0,0.07
Austin,20010927,64,75,80,87,105,48,62,45,73,0,0.08
Austin,20010928,66,74,81,87,105,50,62,46,73,0,0.08
Austin,20010929,66,74,82,87,99,51,61,45,72,0,0.08
Austin,20010930,64,74,78,87,97,52,61,46,68,0.01,0.07
Austin,20011001,66,74,80,86,98,51,61,45,72,0,0.09
Austin,20011002,64,73,82,86,97,48,60,47,72,0,0.08
Austin,20011003,68,73,82,86,96,55,60,49,79,0,0.11
Austin,20011004,75,73,86,86,95,64,60,45,77,0,0.11
Austin,20011005,72,72,84,85,96,59,59,43,83,0.01,0.12
Austin,20011006,60,72,69,85,95,50,59,42,67,0,0.12
Austin,20011007,60,72,75,85,96,45,59,42,71,0,0.11
Austin,20011008,66,72,79,85,96,55,58,44,79,0,0.12
Austin,20011009,78,71,84,84,93,71,58,39,78,0,0.13
Austin,20011010,78,71,84,84,93,73,58,43,84,0,0.14
Austin,20011011,70,71,80,84,95,61,58,43,88,1.13,0.14
Austin,20011012,70,70,84,84,97,57,57,41,93,0.71,0.15
Austin,20011013,62,70,72,83,98,51,57,39,77,0.55,0.14
Austin,20011014,62,70,81,83,95,44,57,43,65,0,0.15
Austin,20011015,64,70,82,83,93,46,56,38,75,0,0.15
Austin,20011016,55,69,66,82,92,42,56,41,57,0,0.15
Austin,20011017,54,69,71,82,96,36,56,35,72,0,0.14
Austin,20011018,60,69,78,82,93,42,55,42,86,0,0.15
Austin,20011019,65,68,80,82,93,51,55,42,83,0,0.16
Austin,20011020,66,68,80,81,92,53,55,36,85,0.01,0.17
Austin,20011021,69,68,81,81,92,57,54,36,82,0,0.16
Austin,20011022,74,67,86,81,92,64,54,41,84,0,0.16
Austin,20011023,78,67,84,80,92,73,54,38,80,0,0.16
Austin,20011024,78,67,91,80,93,61,53,37,69,0,0.15
Austin,20011025,62,66,78,80,92,46,53,32,55,0,0.14
Austin,20011026,60,66,75,79,98,46,53,33,65,0,0.14
Austin,20011027,60,66,75,79,94,46,52,37,65,0,0.14
Austin,20011028,59,65,75,78,89,43,52,33,67,0,0.14
Austin,20011029,57,65,75,78,88,39,52,33,76,0,0.14
Austin,20011030,58,65,73,78,88,43,51,32,89,0,0.14
Austin,20011031,62,64,78,77,90,45,51,36,87,0,0.14
Austin,20011101,70,64,82,77,88,57,51,36,84,0,0.13
Austin,20011102,71,64,82,77,87,60,50,29,85,0,0.12
Austin,20011103,68,63,82,76,87,55,50,26,87,0,0.11
Austin,20011104,67,63,80,76,89,54,50,26,75,0,0.12
Austin,20011105,64,62,79,75,90,50,49,27,72,0,0.12
Austin,20011106,60,62,78,75,89,43,49,31,68,0,0.11
Austin,20011107,61,62,78,75,88,44,49,30,70,0,0.1
Austin,20011108,66,61,79,74,90,52,48,33,87,0.01,0.11
Austin,20011109,59,61,66,74,88,50,48,26,75,0.34,0.11
Austin,20011110,62,60,75,73,90,48,48,31,84,0,0.1
Austin,20011111,67,60,75,73,87,59,47,26,79,0,0.1
Austin,20011112,67,60,75,73,87,59,47,26,91,0.57,0.1
Austin,20011113,68,59,75,72,90,60,46,28,88,0.01,0.11
Austin,20011114,70,59,77,72,88,62,46,25,87,0,0.1
Austin,20011115,66,58,71,71,89,60,46,28,95,5.87,0.1
Austin,20011116,64,58,68,71,84,60,45,26,94,0.01,0.1
Austin,20011117,66,58,73,71,89,60,45,26,86,0,0.1
Austin,20011118,68,57,75,70,83,60,45,26,87,0,0.09
Austin,20011119,58,57,68,70,87,48,44,26,89,0.1,0.08
Austin,20011120,48,57,60,70,85,37,44,30,59,0,0.08
Austin,20011121,46,56,57,69,86,36,43,28,72,0,0.09
Austin,20011122,59,56,73,69,87,45,43,31,83,0,0.08
Austin,20011123,69,56,81,69,87,57,43,27,85,0,0.08
Austin,20011124,59,55,73,68,87,45,42,26,51,0,0.08
Austin,20011125,56,55,75,68,85,37,42,23,66,0,0.09
Austin,20011126,71,55,80,68,85,61,42,27,83,0,0.09
Austin,20011127,50,54,64,67,87,37,41,22,54,0.03,0.09
Austin,20011128,36,54,39,67,88,32,41,25,88,0.69,0.09
Austin,20011129,41,54,52,67,85,30,41,20,81,0.07,0.09
Austin,20011130,48,53,66,66,83,30,40,20,75,0,0.07
Austin,20011201,53,53,69,66,84,37,40,23,82,0.03,0.09
Austin,20011202,59,53,61,66,85,57,40,25,97,0.85,0.08
Austin,20011203,62,53,66,66,86,57,40,27,99,0.01,0.08
Austin,20011204,68,52,75,65,84,62,39,23,91,0.01,0.08
Austin,20011205,70,52,78,65,86,62,39,19,85,0,0.07
Austin,20011206,69,52,77,65,83,61,39,19,93,0,0.07
Austin,20011207,70,52,75,65,81,64,39,17,90,0.01,0.07
Austin,20011208,57,51,68,65,83,46,38,23,76,1.03,0.05
Austin,20011209,46,51,55,64,81,37,38,23,57,0,0.07
Austin,20011210,44,51,60,64,83,28,38,18,68,0,0.06
Austin,20011211,47,51,57,64,83,39,38,24,93,0.47,0.07
Austin,20011212,62,51,70,64,88,52,37,22,94,0,0.07
Austin,20011213,47,50,57,64,81,37,37,12,79,0.24,0.07
Austin,20011214,46,50,61,64,83,30,37,22,78,0,0.06
Austin,20011215,52,50,60,63,81,45,37,19,95,1.12,0.07
Austin,20011216,65,50,73,63,80,57,37,18,93,0.11,0.07
Austin,20011217,52,50,66,63,85,39,37,21,71,0,0.06
Austin,20011218,49,50,64,63,81,34,37,25,75,0,0.07
Austin,20011219,48,50,62,63,84,32,36,24,64,0,0.07
Austin,20011220,45,50,62,63,84,28,36,24,74,0,0.07
Austin,20011221,48,50,68,63,81,28,36,22,85,0,0.07
Austin,20011222,60,49,72,63,80,48,36,16,81,0,0.07
Austin,20011223,46,49,57,63,82,33,36,6,59,0,0.08
Austin,20011224,40,49,52,63,82,28,36,14,50,0,0.07
Austin,20011225,44,49,54,63,91,35,36,11,62,0,0.07
Austin,20011226,44,49,57,62,81,32,36,18,57,0,0.07
Austin,20011227,44,49,64,62,80,24,36,20,69,0,0.07
Austin,20011228,50,49,64,62,77,34,36,25,68,0,0.07
Austin,20011229,42,49,54,62,80,30,36,20,62,0,0.07
Austin,20011230,40,49,48,62,82,33,36,19,56,0,0.09
Austin,20011231,38,49,45,62,82,32,36,18,65,0,0.08
Austin,20020101,38,49,42,62,84,33,36,24,61,0,0.07
Austin,20020102,37,49,44,62,81,28,36,16,60,0,0.08
Austin,20020103,32,49,45,62,86,19,36,17,70,0,0.08
Austin,20020104,35,49,51,62,80,19,36,15,79,0.03,0.08
Austin,20020105,50,49,54,62,78,45,36,14,90,1.1,0.08
Austin,20020106,50,49,62,62,84,39,36,20,56,0,0.08
Austin,20020107,45,49,60,62,80,30,36,12,64,0,0.07
Austin,20020108,47,49,66,62,81,28,36,13,73,0,0.07
Austin,20020109,56,49,73,62,84,39,36,10,80,0,0.07
Austin,20020110,62,49,70,62,86,53,36,13,77,0,0.07
Austin,20020111,52,49,60,62,85,44,36,14,53,0,0.07
Austin,20020112,50,49,66,62,80,34,36,12,59,0,0.07
Austin,20020113,48,49,68,62,78,28,36,18,61,0,0.07
Austin,20020114,50,49,66,62,79,33,36,11,60,0,0.07
Austin,20020115,46,49,66,62,78,26,36,17,60,0,0.07
Austin,20020116,53,49,71,62,82,35,36,19,85,0,0.08
Austin,20020117,56,49,63,62,80,50,36,21,82,0,0.07
Austin,20020118,48,49,52,62,83,45,36,19,70,0,0.08
Austin,20020119,46,49,59,62,86,33,36,14,76,0.02,0.08
Austin,20020120,44,49,60,62,82,28,36,15,76,0,0.07
Austin,20020121,52,49,71,62,81,32,37,17,63,0,0.07
Austin,20020122,62,49,70,62,83,55,37,20,90,0,0.08
Austin,20020123,74,49,79,62,89,68,37,18,83,0,0.07
Austin,20020124,58,49,71,62,82,44,37,14,80,0.06,0.07
Austin,20020125,48,50,61,62,89,35,37,19,46,0,0.07
Austin,20020126,44,50,61,62,86,27,37,24,59,0,0.07
Austin,20020127,52,50,71,62,84,34,37,21,66,0,0.08
Austin,20020128,65,50,75,62,80,55,37,18,90,0,0.06
Austin,20020129,74,50,79,63,85,68,37,17,76,0,0.07
Austin,20020130,72,50,77,63,88,66,37,0,82,0,0.06
Austin,20020131,58,50,71,63,82,44,37,-5,75,0.33,0.05
Austin,20020201,40,50,48,63,83,32,37,13,51,0,0.07
Austin,20020202,40,50,53,63,85,28,37,8,59,0,0.07
Austin,20020203,50,50,57,63,80,42,38,16,62,0,0.08
Austin,20020204,50,50,52,63,84,46,38,20,70,0,0.07
Austin,20020205,44,50,46,63,83,41,38,17,92,0.79,0.08
Austin,20020206,42,51,51,63,79,30,38,21,83,0,0.08
Austin,20020207,44,51,61,64,84,26,38,19,80,0,0.09
Austin,20020208,46,51,64,64,85,28,38,21,81,0,0.08
Austin,20020209,56,51,72,64,87,39,38,23,68,0,0.09
Austin,20020210,48,51,54,64,89,39,38,19,48,0,0.1
Austin,20020211,44,51,57,64,81,28,39,16,53,0,0.09
Austin,20020212,44,52,64,64,83,25,39,16,58,0,0.09
Austin,20020213,47,52,64,64,83,30,39,23,60,0,0.08
Austin,20020214,48,52,66,65,84,30,39,24,60,0,0.08
Austin,20020215,54,52,69,65,83,39,39,23,67,0,0.09
Austin,20020216,47,52,64,65,83,30,40,20,57,0,0.09
Austin,20020217,47,52,66,65,92,28,40,22,53,0,0.09
Austin,20020218,58,53,73,65,89,42,40,25,75,0,0.09
Austin,20020219,61,53,79,66,92,43,40,23,70,0.12,0.08
Austin,20020220,60,53,77,66,94,42,40,29,40,0,0.09
Austin,20020221,62,53,77,66,101,48,41,30,40,0,0.08
Austin,20020222,52,53,66,66,98,37,41,25,46,0,0.08
Austin,20020223,50,54,72,66,94,28,41,24,51,0,0.08
Austin,20020224,54,54,77,67,86,32,41,24,67,0,0.08
Austin,20020225,59,54,72,67,89,44,42,23,67,0,0.08
Austin,20020226,36,54,45,67,88,23,42,23,39,0,0.09
Austin,20020227,33,55,52,67,89,14,42,13,43,0,0.1
Austin,20020228,40,55,55,68,87,24,42,24,62,0,0.1
Austin,20020301,52,55,59,68,88,46,43,25,94,0.05,0.08
Austin,20020302,44,55,57,68,86,30,43,19,75,0.02,0.09
